first_name,log_labor_income,female,female_pred,R
anna,7.843848638152472,NA,1,0
anna,7.600902459542082,NA,1,0
olof,8.263590432617319,NA,0,0
lennart,9.210340371976184,NA,0,0
elna,7.996317231796746,NA,0,0
karl,8.45531778769815,NA,0,0
agnes,7.824046010856292,NA,1,0
lilly,7.313220387090301,NA,0,0
ellen,7.600902459542082,NA,1,0
ida,7.600902459542082,NA,1,0
ruth,7.600902459542082,NA,0,0
anna,7.495541943884256,NA,1,0
anna,7.4205789054108005,NA,1,0
carl,8.699514748210191,NA,0,0
lydia,6.345636360828596,NA,0,0
gustaf,8.250620082174692,NA,0,0
kristina,6.633318433280377,NA,1,0
agnes,6.966024187106113,1,1,1
nils,8.53503310954457,NA,0,0
karolina,6.946975992135418,NA,1,0
arvid,8.540909718033554,NA,0,0
johan,8.006367567650246,NA,0,0
carl,8.669055540725484,NA,0,0
kaleb,9.114930187171524,NA,0,0
ernst,8.273846932784508,NA,0,0
karl,8.268731832117737,NA,0,0
elin,7.600902459542082,NA,1,0
johannes,8.791790024319363,0,0,1
hilda,7.138866999945524,NA,1,0
ebba,7.696212639346407,NA,1,0
selma,8.242756345714477,NA,1,0
erik,8.229511118964457,NA,0,0
nils,9.259130536145614,NA,0,0
anita,6.396929655216146,NA,0,0
claes,8.433811582477187,NA,0,0
erik,7.620705086838262,0,0,1
johan,8.573573524852344,NA,0,0
august,8.160518247477505,0,0,1
emil,7.539027055823995,NA,0,0
johan,7.600902459542082,NA,0,0
mathilda,7.495541943884256,1,0,1
cornelia,7.3901814282264295,NA,0,0
beda,7.745002803515839,NA,0,0
anna,7.495541943884256,1,1,1
otto,8.411832675758411,NA,0,0
karl,8.391629968440892,NA,0,0
augusta,5.703782474656201,1,1,1
elsa,7.162397497355718,1,1,1
carl,8.863615758890619,NA,0,0
alma,7.313220387090301,NA,1,0
alma,6.866933284461882,NA,1,0
elsa,7.867105500316739,NA,1,0
anna,8.389359819906353,NA,1,0
henrik,7.560080465021827,NA,0,0
anna,8.268731832117737,NA,1,0
ernst,7.517520850603031,NA,0,0
karl,8.453187861440325,NA,0,0
bror,8.699514748210191,NA,0,0
johan,8.294049640102028,NA,0,0
thyra,8.006367567650246,NA,0,0
gunborg,7.933796874815411,NA,0,0
alma,7.528331766707247,NA,1,0
selma,7.251344983372214,NA,1,0
elsa,7.495541943884256,NA,1,0
alica,8.09559870137819,NA,0,0
ingrid,9.968338524855744,NA,1,0
beda,7.595889917718538,NA,0,0
alma,7.595889917718538,NA,1,0
alma,7.432483807917119,NA,1,0
elin,7.432483807917119,1,1,1
gustaf,8.692825760059396,NA,0,0
mauritz,8.453187861440325,NA,0,0
albertina,6.396929655216146,NA,1,0
hilda,7.495541943884256,NA,1,0
emma,7.313220387090301,NA,1,0
hilma,7.843848638152472,NA,1,0
hulda,8.006367567650246,NA,1,0
sigrid,8.517193191416238,NA,1,0
irma,7.495541943884256,NA,0,0
margit,8.1886891244442,NA,0,0
anna,8.070906088787819,NA,1,0
johanna,8.770283819098399,NA,1,0
anna,7.272398392570047,NA,1,0
anna,7.272398392570047,NA,1,0
gustaf,8.40737832540903,NA,0,0
per,8.371010681238156,NA,0,0
gustaf,8.32117830749028,NA,0,0
johan,7.306531398939505,NA,0,0
alfred,7.383989457978509,NA,0,0
maria,7.313220387090301,NA,1,0
ebba,8.006367567650246,NA,1,0
hanna,7.67786350067821,NA,1,0
karl,8.757783656334167,NA,0,0
sofia,5.634789603169249,NA,1,0
tage,5.598421958998375,NA,0,0
sven,6.779921907472252,NA,0,0
sara,8.669055540725484,1,1,1
gustaf,8.972083182851925,NA,0,0
carl,8.995908761263994,NA,0,0
hilding,8.494947582468917,NA,0,0
ester,8.41847721847708,NA,1,0
gustaf,8.163371316459912,0,0,1
knut,8.318742252692399,NA,0,0
ernst,8.517193191416238,NA,0,0
fritz,9.807527161390217,NA,0,0
ida,7.346010209913293,NA,1,0
alfred,8.484669999710677,NA,0,0
greta,8.25582842728183,NA,1,0
carl,9.294681520409934,NA,0,0
ester,7.313220387090301,NA,1,0
vincent,8.60337088765729,NA,0,0
maria,6.363028103540465,NA,1,0
fredrik,7.170119543449628,0,0,1
christian,8.899730794880696,NA,0,0
hans,7.696212639346407,0,0,1
anna,7.843848638152472,1,1,1
gustaf,7.783224016336037,NA,0,0
amanda,7.170119543449628,NA,1,0
ida,7.501082124259871,NA,1,0
adolf,8.85366542803745,NA,0,0
ernst,8.898365606955357,NA,0,0
emilia,5.560681631015528,NA,1,0
hilda,7.783224016336037,NA,1,0
carl,8.85366542803745,NA,0,0
hilma,7.958576903813898,NA,1,0
axel,7.843848638152472,NA,0,0
emma,7.495541943884256,1,1,1
ellen,7.313220387090301,NA,1,0
märtha,7.495541943884256,NA,0,0
eric,9.214332393245721,0,0,1
laura,7.600902459542082,NA,1,0
k,10.059208427532903,NA,0,0
c,10.059208427532903,NA,0,0
anders,9.70868847423106,NA,0,0
ernst,10.060063859578225,NA,0,0
signe,8.98343977178426,NA,0,0
lars,8.98343977178426,NA,0,0
,9.67721410821299,NA,0,0
,9.67721410821299,NA,0,0
,9.67721410821299,NA,0,0
johanna,7.365180126021013,NA,1,0
maria,7.958576903813898,NA,1,0
edith,8.045588280803528,NA,0,0
ester,7.590852123688581,NA,1,0
anna,7.979338895262328,NA,1,0
carolina,7.495541943884256,1,0,1
johan,7.649692623711514,NA,0,0
alice,7.824046010856292,NA,0,0
julia,7.438383530044307,NA,1,0
agneta,7.495541943884256,NA,0,0
anna,7.313220387090301,NA,1,0
edith,7.313220387090301,1,0,1
vilhelm,8.61974977974133,NA,0,0
wilhelm,7.222566018822171,0,0,1
hilding,8.641179171197228,NA,0,0
elin,7.286191714702382,NA,1,0
johan,8.318742252692399,0,0,1
selma,7.3777589082278725,NA,1,0
lovisa,7.3777589082278725,NA,1,0
johan,7.7406644019172415,NA,0,0
carl,9.364776725280601,NA,0,0
karl,6.877296071497429,NA,0,0
karl,6.721425700790643,NA,0,0
naema,7.867105500316739,NA,0,0
margit,8.42726848388825,NA,0,0
nils,9.86889610776651,NA,0,0
detmar,7.7406644019172415,NA,0,0
harry,8.474285690404962,NA,0,0
holger,7.90100705199242,0,0,1
agnes,8.160518247477505,NA,1,0
ernst,8.294049640102028,NA,0,0
sara,7.352441100243583,NA,1,0
erik,8.104703468371108,NA,0,0
helga,9.368198456591763,NA,0,0
bernhard,7.7406644019172415,NA,0,0
albin,9.495519314209846,NA,0,0
david,9.148464968258095,NA,0,0
gösta,9.18091156128537,NA,0,0
ernst,8.46168048148598,NA,0,0
adolf,8.941152882160566,NA,0,0
nils,8.85366542803745,0,0,1
carl,8.733916174927524,NA,0,0
carl,7.783224016336037,NA,0,0
karl,8.517193191416238,NA,0,0
erik,8.517193191416238,NA,0,0
helga,8.006367567650246,NA,0,0
estrid,7.600902459542082,NA,0,0
vilma,7.313220387090301,NA,0,0
carl,9.199279424616758,NA,0,0
amanda,7.649692623711514,NA,1,0
ester,7.313220387090301,NA,1,0
gulli,7.313220387090301,NA,0,0
anna,7.600902459542082,NA,1,0
gerda,7.313220387090301,NA,1,0
gustava,7.824046010856292,NA,1,0
vilhelm,8.294049640102028,NA,0,0
anton,8.634086942887738,NA,0,0
bror,7.992944547318106,NA,0,0
axel,6.907755278982137,NA,0,0
anselm,8.548691858475609,NA,0,0
johanna,7.313220387090301,1,1,1
hertha,7.090076835776092,NA,0,0
emil,8.61431990214696,NA,0,0
knut,9.852194258148577,0,0,1
märta,7.313220387090301,NA,1,0
axel,7.450079569807499,NA,0,0
elle,7.313220387090301,NA,0,0
anna,7.313220387090301,NA,1,0
anna,8.411832675758411,NA,1,0
christina,7.6255950721324535,NA,0,0
bo,7.3777589082278725,NA,0,0
alfred,7.600902459542082,NA,0,0
carl,6.396929655216146,NA,0,0
anna,6.684611727667927,NA,1,0
pilip,7.600902459542082,NA,0,0
frans,8.163371316459912,NA,0,0
karl,8.250620082174692,NA,0,0
knut,8.623353387244627,NA,0,0
axel,7.090076835776092,NA,0,0
anna,7.859413154693583,NA,1,0
karl,8.216088098632316,0,0,1
carl,8.006367567650246,NA,0,0
hulda,7.313220387090301,NA,1,0
lars,8.389359819906353,NA,0,0
olov,7.783224016336037,NA,0,0
anna,7.313220387090301,NA,1,0
hedvig,7.313220387090301,NA,1,0
axel,10.596634733096073,NA,0,0
aina,7.313220387090301,1,0,1
astrid,7.090076835776092,NA,0,0
anna,7.495541943884256,NA,1,0
julia,7.495541943884256,NA,1,0
elsa,7.313220387090301,NA,1,0
eva,6.7912214627261855,NA,1,0
gustaf,8.070906088787819,NA,0,0
gerda,7.383989457978509,NA,1,0
sven,8.790269111478656,NA,0,0
svea,7.824046010856292,NA,0,0
julia,7.600902459542082,NA,1,0
friedrich,8.006367567650246,NA,0,0
dagmar,6.396929655216146,NA,1,0
ebba,8.281470857895167,NA,1,0
carolina,8.083328608786376,NA,0,0
maria,8.143226750367445,NA,1,0
hugo,9.236982302922604,NA,0,0
wilhelmina,7.3777589082278725,NA,1,0
eric,8.006367567650246,NA,0,0
hildur,7.824046010856292,NA,1,0
karl,8.268731832117737,NA,0,0
gustaf,8.294049640102028,NA,0,0
erik,8.62155320674048,NA,0,0
olga,7.600902459542082,NA,0,0
albin,8.699514748210191,0,0,1
maria,7.549609165154532,NA,1,0
hanna,7.549609165154532,NA,1,0
tyra,7.512071245835466,NA,1,0
jenny,7.3901814282264295,NA,1,0
eugenia,7.489970898834801,NA,1,0
alma,7.4205789054108005,1,1,1
anna,7.495541943884256,NA,1,0
anna,7.605890001053122,NA,1,0
anna,7.426549072397305,NA,1,0
ebby,7.426549072397305,NA,0,0
elin,7.52294091807237,NA,1,0
hilda,7.426549072397305,NA,1,0
johanna,7.455876687491824,NA,1,0
anna,7.461640392208575,NA,1,0
elin,7.426549072397305,NA,1,0
karin,7.4205789054108005,NA,1,0
teodora,7.3453648404168685,NA,0,0
thure,8.765614549914716,0,0,1
karolina,7.600902459542082,NA,1,0
anna,7.313220387090301,NA,1,0
john,8.751474487140904,NA,0,0
anna,7.835974581721566,NA,1,0
johanna,7.600902459542082,NA,1,0
mertha,7.783224016336037,NA,0,0
agnes,7.937374696163295,NA,1,0
john,9.893437216682626,NA,0,0
gustava,7.824046010856292,NA,1,0
lambert,8.743531633626967,NA,0,0
erik,8.294049640102028,NA,0,0
ernst,8.294049640102028,NA,0,0
anders,8.41847721847708,NA,0,0
gustaf,7.926602599181384,NA,0,0
karl,7.600902459542082,NA,0,0
johan,8.99961934066053,NA,0,0
jenny,7.668561108015897,NA,1,0
nils,8.089482474360754,NA,0,0
maria,7.90100705199242,NA,1,0
elin,8.160518247477505,1,1,1
eleonora,8.391629968440892,NA,1,0
johanna,7.600902459542082,NA,1,0
märta,7.313220387090301,NA,1,0
johan,8.006367567650246,NA,0,0
herbert,8.006367567650246,NA,0,0
karl,8.006367567650246,NA,0,0
augusta,7.727535110475448,NA,1,0
johan,9.015541293671115,NA,0,0
ebba,6.907755278982137,NA,1,0
josefina,7.313220387090301,1,1,1
per,8.166216268592143,NA,0,0
hulda,7.1929342212158,NA,1,0
oskar,8.517193191416238,0,0,1
carl,8.294049640102028,0,0,1
carl,8.174702882469461,NA,0,0
gustaf,8.517193191416238,0,0,1
karin,6.813444599510896,NA,1,0
johan,7.753623546559746,NA,0,0
erik,9.128045129249353,NA,0,0
severin,8.1886891244442,NA,1,0
hilda,5.91350300563827,NA,1,0
folke,7.843848638152472,NA,0,0
hilda,7.170119543449628,NA,1,0
david,9.383452989684827,NA,0,0
martha,8.80086724247048,NA,0,0
julia,8.907883013942248,NA,1,0
john,8.856518497019858,NA,0,0
ester,7.783224016336037,NA,1,0
augusta,5.598421958998375,NA,1,0
hilda,7.313220387090301,NA,1,0
aina,7.313220387090301,NA,0,0
erik,9.70320567036518,NA,0,0
gerda,7.495541943884256,NA,1,0
johan,8.751474487140904,NA,0,0
hanna,7.313220387090301,NA,1,0
hilda,7.313220387090301,NA,1,0
per,9.0595174822416,0,0,1
fanny,7.3901814282264295,NA,0,0
alfhild,7.352441100243583,NA,0,0
pehr,9.409191230721348,NA,0,0
ebba,7.313220387090301,NA,1,0
alma,9.046644279305394,NA,1,0
anna,8.006367567650246,NA,1,0
albin,8.006367567650246,NA,0,0
hildur,8.476371196895983,NA,1,0
gustav,8.966994113344454,NA,0,0
erik,9.392661928770137,NA,0,0
iris,7.745002803515839,NA,0,0
kristina,7.90100705199242,NA,1,0
karin,7.649692623711514,NA,1,0
niklas,8.701180027529253,NA,0,0
hulda,8.006367567650246,1,1,1
w,9.410829232725586,NA,0,0
carl,11.225243392518447,NA,0,0
gerda,7.313220387090301,NA,1,0
eva,7.313220387090301,NA,1,0
gerda,7.313220387090301,NA,1,0
august,10.021270588192511,NA,0,0
gunnar,7.585788821732034,NA,0,0
fredrik,9.392661928770137,NA,0,0
amalia,7.313220387090301,NA,1,0
artur,7.718685495198466,NA,0,0
erik,8.013012110368916,NA,0,0
matilda,8.859363449152088,NA,1,0
anna,8.651724084373843,NA,1,0
anna,7.299797366758161,NA,1,0
valborg,7.749322464660356,1,0,1
anna,8.258422462458876,NA,1,0
carl,8.922658299524402,NA,0,0
anna,7.326465613840322,NA,1,0
emma,6.684611727667927,NA,1,0
carl,9.798127036878302,NA,0,0
aug,7.352441100243583,NA,0,0
gustav,8.468002947225466,NA,0,0
susanna,7.313220387090301,1,1,1
kristina,7.408530566894626,NA,1,0
ida,7.4673710669175595,NA,1,0
sally,7.408530566894626,NA,0,0
mauritz,9.454070556898781,0,0,1
augusta,7.408530566894626,NA,1,0
carl,8.207946941048617,NA,0,0
erik,10.815770263012745,0,0,1
ebba,7.258412150595307,NA,1,0
selma,7.215239978730097,NA,1,0
martin,8.922658299524402,NA,0,0
alma,6.214608098422191,1,1,1
frans,8.787220328629298,NA,0,0
carolina,5.0106352940962555,NA,0,0
august,7.783224016336037,NA,0,0
agnes,7.640123172695364,NA,1,0
gustaf,9.615805480084347,NA,0,0
gunila,7.313220387090301,NA,0,0
helga,7.313220387090301,NA,0,0
sofi,7.560080465021827,NA,0,0
anna,7.783224016336037,NA,1,0
anna,7.600902459542082,NA,1,0
selma,7.600902459542082,NA,1,0
ellen,7.783224016336037,NA,1,0
hans,8.476371196895983,NA,0,0
signe,7.438383530044307,NA,0,0
paul,8.294049640102028,NA,0,0
anton,8.294049640102028,NA,0,0
hilma,7.937374696163295,NA,1,0
elinmathilda,7.438383530044307,1,0,1
sven,8.1886891244442,0,0,1
edv,11.788357814993093,NA,0,0
otto,11.278215277284554,NA,0,0
ida,6.396929655216146,NA,1,0
augusta,7.495541943884256,NA,1,0
erika,7.313220387090301,NA,1,0
ruth,7.313220387090301,NA,0,0
anna,7.313220387090301,NA,1,0
carl,10.830322498285954,NA,0,0
greta,7.090076835776092,1,1,1
ivar,8.691146498539675,NA,0,0
hilda,7.313220387090301,NA,1,0
ellen,8.701180027529253,NA,1,0
jane,8.61431990214696,NA,1,0
carl,8.883224230278994,NA,0,0
axel,10.189042363971735,NA,0,0
elsa,9.655026193237628,NA,1,0
ruth,7.313220387090301,NA,0,0
anna,7.313220387090301,NA,1,0
anna,6.907755278982137,NA,1,0
eri,10.650649321402312,NA,0,0
elin,7.313220387090301,NA,1,0
elisabet,7.408530566894626,NA,1,0
alfred,9.5453830157878,NA,0,0
maria,8.157657015196472,NA,1,0
tora,7.313220387090301,NA,1,0
henning,9.811920359010637,NA,0,0
johanna,7.22983877815125,NA,1,0
victor,9.198267790741914,0,0,1
gerda,8.785692444451245,NA,1,0
ernst,9.02401079378469,NA,0,0
august,8.907883013942248,NA,0,0
birgitta,7.696212639346407,1,0,1
emil,8.88599431515281,0,0,1
gustaf,8.354674261918463,NA,0,0
gustaf,7.979338895262328,NA,0,0
oscar,7.326465613840322,NA,0,0
nils,7.24422751560335,0,0,1
karl,7.757906208351747,NA,0,0
gustav,7.533693709848633,NA,0,0
birger,7.5652752818989315,NA,0,0
ture,7.61085279039525,NA,0,0
axel,7.958576903813898,NA,0,0
bertil,7.595889917718538,NA,0,0
josef,7.982757702011113,NA,0,0
artur,7.265429723253953,NA,0,0
knut,7.528331766707247,NA,0,0
carl,7.615791072035833,NA,0,0
bertil,7.52294091807237,NA,0,0
henning,7.251344983372214,NA,0,0
gustav,8.064636475774222,NA,0,0
thor,7.5443321080536885,NA,0,0
einar,7.605890001053122,NA,0,0
gunnar,7.630461261783627,NA,0,0
johan,7.506591780070841,NA,0,0
carl,7.807916628926408,NA,0,0
knut,7.237059026124737,NA,0,0
frans,7.251344983372214,NA,0,0
carl,7.61085279039525,NA,0,0
axel,7.630461261783627,0,0,1
nils,7.590852123688581,NA,0,0
karl,7.649692623711514,NA,0,0
olov,7.506591780070841,NA,0,0
carl,7.554858521040676,NA,0,0
johan,7.549609165154532,NA,0,0
johan,7.326465613840322,NA,0,0
johan,8.527143522269405,NA,0,0
emma,7.24422751560335,NA,1,0
anna,8.101677747454572,1,1,1
valborg,7.326465613840322,NA,0,0
berndt,10.968887706998125,NA,0,0
amanda,7.461640392208575,NA,1,0
jenny,7.090076835776092,NA,1,0
olga,7.090076835776092,NA,0,0
ellin,7.687080155783135,NA,0,0
julia,8.420682291035394,NA,1,0
per,10.901173922614277,NA,0,0
karin,7.313220387090301,NA,1,0
helge,8.199738960630786,NA,0,0
anna,6.214608098422191,NA,1,0
werner,7.600902459542082,NA,0,0
rudolf,8.706159290928861,NA,0,0
johan,7.154615356913663,0,0,1
ruth,7.9157131993821155,NA,0,0
axel,9.425451751593128,0,0,1
hilma,7.138866999945524,1,1,1
victor,8.982184278838428,NA,0,0
anna,6.396929655216146,NA,1,0
elsa,8.737131611781498,NA,1,0
carolina,8.393894975071744,NA,0,0
adolf,8.294049640102028,NA,0,0
jakob,8.429454277108231,NA,0,0
anna,8.006367567650246,1,1,1
jenny,7.313220387090301,NA,1,0
katarina,7.313220387090301,NA,1,0
carl,8.699514748210191,NA,0,0
lydia,7.3901814282264295,NA,0,0
anna,5.91350300563827,1,1,1
torsten,9.454853949026585,0,0,1
augusta,7.4673710669175595,1,1,1
johan,9.099408811268901,0,0,1
harald,8.71768205216564,NA,0,0
johan,8.221478947267192,NA,0,0
bror,8.85366542803745,NA,0,0
agnes,8.039157390473237,NA,1,0
ernst,9.89495122151384,NA,0,0
tekla,7.528331766707247,1,1,1
k,7.7664168980196555,NA,0,0
fridelia,8.101677747454572,NA,0,0
alverin,10.126631103850338,NA,0,0
einar,9.694616660508636,NA,0,0
rut,7.358830898342354,NA,0,0
fredrik,9.159047077588632,NA,0,0
ida,7.215239978730097,NA,1,0
johan,7.691656822810547,NA,0,0
sara,7.313220387090301,NA,1,0
anton,8.221478947267192,NA,0,0
elin,7.575584651557793,1,1,1
alfred,7.408530566894626,NA,0,0
bror,8.416267272826277,NA,0,0
sven,10.546393516659327,NA,0,0
sigrid,5.8289456176102075,NA,1,0
anna,7.313220387090301,NA,1,0
wivi,7.162397497355718,NA,0,0
ebba,8.646465527120377,NA,1,0
nora,8.411832675758411,NA,0,0
per,9.903487552536127,NA,0,0
elin,7.313220387090301,NA,1,0
carl,10.892470969803723,NA,0,0
signe,7.4205789054108005,1,0,1
elna,7.313220387090301,NA,0,0
signe,7.832014180505469,NA,0,0
sofia,7.038783541388542,NA,1,0
erik,8.634086942887738,NA,0,0
sven,8.484669999710677,NA,0,0
sven,9.277999020449997,NA,0,0
peter,8.1886891244442,NA,0,0
eric,8.37793112408273,NA,0,0
karl,8.674196940225903,NA,0,0
per,8.517193191416238,NA,0,0
olga,7.090076835776092,NA,0,0
august,8.842171048611716,NA,0,0
amalia,7.313220387090301,NA,1,0
brita,8.387084506069217,NA,1,0
margit,8.59044365315583,NA,0,0
johannes,9.157993891603974,NA,0,0
clas,9.325453179076687,NA,0,0
hildur,7.313220387090301,NA,1,0
karl,9.201299627324033,NA,0,0
anna,7.313220387090301,NA,1,0
bengt,7.358830898342354,NA,0,0
john,7.8399193600125825,NA,0,0
agnes,7.358830898342354,1,1,1
karl,8.442469645220301,NA,0,0
john,8.400659375160286,NA,0,0
helga,8.116715624819111,NA,0,0
anna,7.438383530044307,NA,1,0
ellen,7.3777589082278725,NA,1,0
gustaf,8.669055540725484,NA,0,0
anna,8.584851839890053,NA,1,0
maria,7.313220387090301,NA,1,0
elsa,7.313220387090301,NA,1,0
albertina,7.979338895262328,1,1,1
matilda,7.313220387090301,NA,1,0
helmi,8.104703468371108,1,0,1
carl,8.202482446576537,NA,0,0
elsa,7.982757702011113,NA,1,0
carl,8.964439833539357,0,0,1
carin,6.907755278982137,1,0,1
helena,7.77485576666552,NA,1,0
augusta,7.313220387090301,NA,1,0
bertha,7.098375638590786,NA,0,0
karin,8.194229304819817,NA,1,0
sigfrid,8.564076777315087,NA,0,0
klara,6.272877006546167,NA,1,0
johan,8.333270353255308,NA,0,0
andrea,7.313220387090301,NA,1,0
john,10.124629101179664,NA,0,0
vladimir,8.003028666384733,NA,0,0
carl,9.522958929717996,NA,0,0
anna,7.352441100243583,NA,1,0
eva,6.733401891837359,NA,1,0
carl,8.594154232552366,NA,0,0
johan,9.299266581170585,NA,0,0
karl,8.006367567650246,NA,0,0
carl,8.451053388911692,NA,0,0
john,8.294049640102028,NA,0,0
lovisa,7.668561108015897,NA,1,0
ruth,7.313220387090301,NA,0,0
sigrid,8.250620082174692,NA,1,0
gunnar,9.131297164635729,NA,0,0
eva,7.346010209913293,NA,1,0
berta,7.098375638590786,NA,1,0
alena,6.779921907472252,NA,0,0
knut,10.299911915992144,NA,0,0
ragnhild,7.313220387090301,NA,0,0
gustav,9.015541293671115,NA,0,0
per,8.330863613224745,NA,0,0
märtha,7.762170607138205,NA,0,0
jenny,7.313220387090301,NA,1,0
fredrik,9.685331542732957,NA,0,0
eric,8.706159290928861,NA,0,0
jacqueline,7.807916628926408,1,0,1
hilda,7.313220387090301,NA,1,0
ingrid,8.194229304819817,NA,1,0
siri,8.205218426395412,NA,0,0
gustaf,8.860782895806315,NA,0,0
amanda,7.24422751560335,NA,1,0
karl,9.2093398716426,NA,0,0
henri,8.294049640102028,NA,0,0
augusta,8.23217423638394,NA,1,0
eugenia,7.313220387090301,NA,1,0
lovisa,7.847762537473608,NA,1,0
siri,7.897296472595885,1,0,1
anna,7.955074273262696,NA,1,0
hilma,7.313220387090301,NA,1,0
rasmus,9.786953736280177,NA,0,0
asty,7.955074273262696,NA,0,0
otto,8.884610231886873,NA,0,0
johanna,7.438383530044307,NA,1,0
margareta,7.352441100243583,NA,1,0
paul,11.211820372186306,0,0,1
vilhelmina,7.3901814282264295,1,0,1
kerstin,8.340456012916183,NA,1,0
oskar,8.308938252595778,0,0,1
gustav,8.941152882160566,NA,0,0
johan,9.097171673870545,NA,0,0
gustaf,9.885832617297407,NA,0,0
frideborg,7.24422751560335,NA,0,0
uno,8.824677891164198,NA,0,0
knut,9.126958763037132,NA,0,0
ingeborg,7.7406644019172415,NA,1,0
signe,7.495541943884256,NA,0,0
maria,7.313220387090301,NA,1,0
hedvig,7.313220387090301,NA,1,0
gölin,7.313220387090301,NA,0,0
carl,8.97335141383992,NA,0,0
astrid,7.313220387090301,NA,0,0
elsa,7.461640392208575,NA,1,0
maria,5.0106352940962555,NA,1,0
edit,7.313220387090301,NA,1,0
maria,8.472195825485501,NA,1,0
karli,8.56216655705897,NA,0,0
gurli,8.558335134747413,NA,0,0
nils,9.45798139489078,NA,0,0
judith,7.090076835776092,NA,0,0
elisabet,7.106606137727303,1,1,1
ester,8.210668031162976,1,1,1
signe,8.213381737034572,NA,0,0
hilda,7.313220387090301,NA,1,0
hedvid,7.426549072397305,NA,0,0
frida,7.383989457978509,NA,1,0
josef,12.765316935897491,NA,0,0
louise,7.461640392208575,NA,1,0
matilda,7.478734825567875,NA,1,0
johanna,7.3901814282264295,NA,1,0
hildur,7.478734825567875,NA,1,0
dorotea,7.560080465021827,NA,1,0
emy,7.24422751560335,NA,0,0
edit,7.371489295214277,NA,1,0
otto,7.807916628926408,NA,0,0
signe,7.495541943884256,NA,0,0
kristian,4.605170185988092,NA,0,0
anna,7.495541943884256,NA,1,0
august,8.494947582468917,NA,0,0
algot,8.751474487140904,NA,0,0
thora,8.411832675758411,NA,0,0
frida,7.461640392208575,NA,1,0
anna,7.3901814282264295,NA,1,0
anna,7.3777589082278725,NA,1,0
selma,7.727535110475448,NA,1,0
carl,9.415727201701133,0,0,1
zelma,8.542860938164814,NA,1,0
anna,8.85366542803745,1,1,1
filip,9.58465875108751,NA,0,0
sigrid,7.358830898342354,NA,1,0
hedvig,7.396335293800808,NA,1,0
anna,7.358830898342354,NA,1,0
johan,9.55393007636626,NA,0,0
linda,7.1853870155804165,NA,0,0
anna,7.1853870155804165,NA,1,0
ingegerd,7.162397497355718,NA,0,0
stina,7.22983877815125,1,1,1
hedda,7.090076835776092,NA,1,0
ingeborg,7.313220387090301,NA,1,0
hugo,9.378393956972433,NA,0,0
augusta,7.090076835776092,1,1,1
hildur,7.313220387090301,NA,1,0
maria,6.620073206530356,NA,1,0
ingeborg,7.313220387090301,NA,1,0
anna,8.258422462458876,NA,1,0
anders,7.313220387090301,NA,0,0
charlotte,7.807916628926408,NA,0,0
karolina,7.1853870155804165,NA,1,0
maria,8.525161361065415,NA,1,0
eva,7.1308988302963465,NA,1,0
